Symbol,Yahoo_Ticker,Big Sectors,Industry
TIRUMALCHM,TIRUMALCHM.NS,Commodities,Fertilizers & Agrochemicals
TIRUPATIFL,TIRUPATIFL.NS,Industrials,Industrial Manufacturing
TITAGARH,TITAGARH.NS,Industrials,Industrial Products
TITAN,TITAN.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
TMB,TMB.NS,Services,Banks - Regional
TNPETRO,TNPETRO.NS,Commodities,Fertilizers & Agrochemicals
TNPL,TNPL.NS,Commodities,"Paper, Forest & Jute Products"
TNTELE,TNTELE.NS,Information Technology,IT - Hardware
TOKYOPLAST,TOKYOPLAST.NS,Consumer Discretionary,Retailing
TOLINS,TOLINS.NS,Consumer Discretionary,Automobile & Auto Components
TORNTPHARM,TORNTPHARM.NS,Healthcare,Pharmaceuticals & Biotechnology
TORNTPOWER,TORNTPOWER.NS,Utilities,Utilities
TOTAL,TOTAL.NS,Industrials,Industrial Products
TOUCHWOOD,TOUCHWOOD.NS,Telecommunication,Telecom - Equipment & Accessories
TPHQ,TPHQ.NS,Industrials,Construction
TPLPLASTEH,TPLPLASTEH.NS,Consumer Discretionary,Retailing
TRACXN,TRACXN.NS,Information Technology,IT - Software
TRANSRAILL,TRANSRAILL.NS,Industrials,Construction
TRANSWORLD,TRANSWORLD.NS,Industrials,Industrial Products
TREEHOUSE,TREEHOUSE.NS,Fast Moving consumer goods,Diversified FMCG
TREJHARA,TREJHARA.NS,Information Technology,IT - Software
TREL,TREL.NS,Consumer Discretionary,Realty
TRENT,TRENT.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
TRF,TRF.NS,Industrials,Industrial Manufacturing
TRIDENT,TRIDENT.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
TRIGYN,TRIGYN.NS,Information Technology,IT - Services
TRITURBINE,TRITURBINE.NS,Industrials,Industrial Manufacturing
TRIVENI,TRIVENI.NS,Fast Moving consumer goods,Food Products
TRU,TRU.NS,Services,Credit Services
TTKHLTCARE,TTKHLTCARE.NS,Healthcare,Pharmaceuticals & Biotechnology
TTKPRESTIG,TTKPRESTIG.NS,Consumer Discretionary,Consumer Durables
TTL,TTL.NS,Consumer Discretionary,"Textiles, Apparels & Accessories"
TTML,TTML.NS,Telecommunication,Telecom - Services
TVSELECT,TVSELECT.NS,Information Technology,IT - Hardware
TVSHLTD,TVSHLTD.NS,Consumer Discretionary,Automobile & Auto Components
