Company Name,Symbol,SERIES
Consolidated Construction Consortium Limited,CCCL,EQ
Country Club Hospitality & Holidays Limited,CCHHL,EQ
CCL Products (India) Limited,CCL,EQ
Central Depository Services (India) Limited,CDSL,EQ
CEAT Limited,CEATLTD,EQ
Ceigall India Limited,CEIGALL,EQ
Ceinsys Tech Limited,CEINSYS,EQ
Celebrity Fashions Limited,CELEBRITY,EQ
Cello World Limited,CELLO,EQ
Cemindia Projects Limited,CEMPRO,EQ
Century Enka Limited,CENTENKA,EQ
Century Extrusions Limited,CENTEXT,EQ
Central Bank of India,CENTRALBK,EQ
Centrum Capital Limited,CENTRUM,EQ
Centum Electronics Limited,CENTUM,EQ
Century Plyboards (India) Limited,CENTURYPLY,EQ
Cera Sanitaryware Limited,CERA,EQ
Cerebra Integrated Technologies Limited,CEREBRAINT,BZ
CESC Limited,CESC,EQ
Concord Enviro Systems Limited,CEWATER,EQ
Capri Global Capital Limited,CGCL,EQ
CG Power and Industrial Solutions Limited,CGPOWER,EQ
Chalet Hotels Limited,CHALET,EQ
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,EQ
Chembond Material Technologies Limited,CHEMBOND,EQ
Chembond Chemicals Limited,CHEMBONDCH,EQ
Chemcon Speciality Chemicals Limited,CHEMCON,EQ
Chemfab Alkalis Limited,CHEMFAB,EQ
Chemplast Sanmar Limited,CHEMPLASTS,EQ
Chennai Petroleum Corporation Limited,CHENNPETRO,EQ
Cheviot Company Limited,CHEVIOT,EQ
Choice International Limited,CHOICEIN,EQ
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,EQ
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,EQ
CIE Automotive India Limited,CIEINDIA,EQ
Capital India Finance Limited,CIFL,EQ
Cigniti Technologies Limited,CIGNITITEC,EQ
Cineline India Limited,CINELINE,EQ
Cinevista Limited,CINEVISTA,EQ
Cipla Limited,CIPLA,EQ
CLC Industries Limited,CLCIND,BE
Clean Science and Technology Limited,CLEAN,EQ
Clean Max Enviro Energy Solutions Limited,CLEANMAX,EQ
CL Educate Limited,CLEDUCATE,BE
Chaman Lal Setia Exports Limited,CLSEL,EQ
CMI Limited,CMICABLES,BZ
Central Mine Planning & Design Institute Limited,CMPDI,EQ
CMS Info Systems Limited,CMSINFO,EQ
Creative Newtech Limited,CNL,EQ
Coal India Limited,COALINDIA,EQ
Coastal Corporation Limited,COASTCORP,EQ
Cochin Shipyard Limited,COCHINSHIP,EQ
John Cockerill India Limited,COCKERILL,EQ
Coffee Day Enterprises Limited,COFFEEDAY,EQ
Coforge Limited,COFORGE,EQ
Cohance Lifesciences Limited,COHANCE,EQ
Colgate Palmolive (India) Limited,COLPAL,EQ
Comfort Intech Limited,COMFINTE,EQ
Compuage Infocom Limited,COMPINFO,BZ
Compucom Software Limited,COMPUSOFT,EQ
Commercial Syn Bags Limited,COMSYN,EQ
Container Corporation of India Limited,CONCOR,EQ
Concord Biotech Limited,CONCORDBIO,EQ
Confidence Petroleum India Limited,CONFIPET,EQ
Consolidated Finvest & Holdings Limited,CONSOFINVT,BE
Control Print Limited,CONTROLPR,EQ
Coral India Finance & Housing Limited,CORALFINAC,EQ
Cords Cable Industries Limited,CORDSCABLE,EQ
Coromandel International Limited,COROMANDEL,EQ
CORONA Remedies Limited,CORONA,EQ
COSMO FIRST LIMITED,COSMOFIRST,EQ
Country Condo's Limited,COUNCODOS,EQ
CP Capital Limited,CPCAP,EQ
Career Point Edutech Limited,CPEDU,EQ
Aditya Infotech Limited,CPPLUS,EQ
Craftsman Automation Limited,CRAFTSMAN,EQ
Canara Robeco Asset Management Company Limited,CRAMC,EQ
Creative Eye Limited,CREATIVEYE,EQ
CREDITACCESS GRAMEEN LIMITED,CREDITACC,EQ
Crest Ventures Limited,CREST,EQ
CRISIL Limited,CRISIL,EQ
Crizac Limited,CRIZAC,EQ
Crompton Greaves Consumer Electricals Limited,CROMPTON,EQ
Crown Lifters Limited,CROWN,EQ
CSB Bank Limited,CSBBANK,EQ
CSL Finance Limited,CSLFINANCE,EQ
Cambridge Technology Enterprises Limited,CTE,BE
City Union Bank Limited,CUB,EQ
Cubex Tubings Limited,CUBEXTUB,EQ
Cummins India Limited,CUMMINSIND,EQ
Cupid Limited,CUPID,EQ
Cura Technologies Limited,CURAA,BE
Cyber Media (India) Limited,CYBERMEDIA,EQ
Cybertech Systems And Software Limited,CYBERTECH,EQ
Cyient Limited,CYIENT,EQ
Cyient DLM Limited,CYIENTDLM,EQ
Dabur India Limited,DABUR,EQ
